cnpj,endereco,matriz_filial,CEP,CNAE,cnae_2_split,numero,situacao_cadastral,nome_fantasia,UF,municipio,CNPJ_DAT_CON,CNPJ_DAT_CON_M,CNPJ_DAT_CON_Y,index,COD_ID,PN_CON,DIST,PAC,CTAT,SUB,CONJ,MUN,CEG_GD,LGRD,BRR,CLAS_SUB,TIP_CC,FAS_CON,GRU_TEN,TEN_FORN,GRU_TAR,SIT_ATIV,DAT_CON,CAR_INST,LIV,ARE_LOC,TIP_SIST,DEM_CONT,DEM_P_01,DEM_P_02,DEM_P_03,DEM_P_04,DEM_P_05,DEM_P_06,DEM_P_07,DEM_P_08,DEM_P_09,DEM_P_10,DEM_P_11,DEM_P_12,DEM_F_01,DEM_F_02,DEM_F_03,DEM_F_04,DEM_F_05,DEM_F_06,DEM_F_07,DEM_F_08,DEM_F_09,DEM_F_10,DEM_F_11,DEM_F_12,ENE_P_01,ENE_P_02,ENE_P_03,ENE_P_04,ENE_P_05,ENE_P_06,ENE_P_07,ENE_P_08,ENE_P_09,ENE_P_10,ENE_P_11,ENE_P_12,ENE_F_01,ENE_F_02,ENE_F_03,ENE_F_04,ENE_F_05,ENE_F_06,ENE_F_07,ENE_F_08,ENE_F_09,ENE_F_10,ENE_F_11,ENE_F_12,DIC_01,DIC_02,DIC_03,DIC_04,DIC_05,DIC_06,DIC_07,DIC_08,DIC_09,DIC_10,DIC_11,DIC_12,FIC_01,FIC_02,FIC_03,FIC_04,FIC_05,FIC_06,FIC_07,FIC_08,FIC_09,FIC_10,FIC_11,FIC_12,DESCR,POINT_X,POINT_Y,DAT_CON_M,DAT_CON_Y,cnae_secao,ENE_P_count,ENE_F_count
53994402000115,1A RUA MARIA GEORGETA MARINS MOTA 122,1,27580000,4755502,,122,Ativa,,RJ,6003,2024-02-20,2,2024,1322,6604461,51123535,383,96822,65099198,ITI,13053,3302254,,AVENIDA INDUSTRIAL ALDA BERNARDES DE FARIA E   ITATIAIA ITATIAIA RJ,SEM INFO,CO1,A2-Tipo03,ABC,AT,94,A2,AT,2020-08-01,20000,1,UB,RD_INTERLIG,20000,1680,3080,3291,3700,2999,3033,2872,2942,2890,2930,2941,2747.98,2012,3700,3700,3100,3700,3700,3700,3700,3700,3700,3700,5648.54,129063.0,138445.0,165118.0,102855.34,135723.42,172949.51,139873.0,164319.0,161474.07,162615.0,146957.0,154270.63,986324.0,1040243.0,1205817.0,757182.52,1092009.91,1375627.18,1159787.0,1338265.0,1225903.7,1254878.0,1169559.0,1229250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SEB DO BRASIL PRODUTOS DOMESTICOS LTDA,-44.5345696,-22.4850435,8,2020,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,12,12
28892221000130,"RODOVIA BR 463, KM 24, A DIREITA, 6 KM SEDE, FAZENDA SAO LOURENCO S/N",1,79849899,0151201,0111302,S/N,Ativa,AGROPECUARIA SAO LOURENCO,MS,9073,2017-10-19,10,2017,419,9000092,867476,404,73443891754086431MT,649100,85,15630,5003702,,RODOVIA BR 163,RURAL,IN,AT-2-Tipo3,ABC,AT,94,A2,AT,1993-12-29,40250,1,NU,RD_INTERLIG,34300,16568.05,16286.63,16895.73,16483.67,15445.27,15696.05,16113.05,16208.74,16464.23,16511.15,16980.28,17474.37,17752.6,17878.76,17503.27,18095.17,17063.25,17081.09,17690.74,17329.97,17806.63,18004.02,18252.8,18776.21,918564.0,889580.0,969717.0,832850.0,906281.0,877268.0,929351.0,1023224.0,935644.0,888758.0,853269.0,1077718.01,9059682.0,8509857.0,9443298.0,8743024.0,8812879.0,8666181.0,8978470.0,9212660.0,9050881.0,9129441.0,8399091.0,9973002.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-54.72492826,-22.22071719,12,1993,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",12,12
03248627000154,SITIO INGARANA S/N,1,62930000,9430800,9493600,S/N,Inapta,,CE,1453,1999-06-29,6,1999,1490,1246833,8898771,39,APD,02L1LMNAPD,APD,16566,2307601,,RDR CHAPADA DO APODI - S-N   LIM. DO NORTE CENTRO CE,RDR CHAPADA DO APODI - S-N   LIM. DO NORTE CENTRO CE,RU8,A3-Tipo01,ABC,AT,82,A3,AT,2017-04-06,10000,0,NU,RD_INTERLIG,9100,60,120,170,60,60,60,50,0,0,0,170,0,8770,17520,26360,8710,6630,130,8980,9100,0,0,26160,0,3000.0,6000.0,9000.0,3000.0,2000.0,3000.0,3000.0,0.0,0.0,0.0,9000.0,0.0,2998000.0,2470000.0,5033000.0,1008000.0,781000.0,930000.0,1464000.0,184000.0,0.0,0.0,4806000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FEDERACAO DAS ASSOC P IRRIG JAGUARIBE,-38.07013971,-5.18200206,4,2017,OUTRAS ATIVIDADES DE SERVIÇOS,8,9
76701655000230,ESTRADA ITAQUIRAI / PORTO SANTO ANTONIO S/N,2,79965000,0151201,0155501,S/N,Ativa,FAZENDA MARACAI,MS,9807,1998-05-19,5,1998,424,9001611,29766032,404,78683993739719969MT,74380668,910398,12847,5004601,,RODOVIA BR 163,RURAL,IN,AT-2-Tipo4,ABC,AT,94,A2,AT,2007-01-05,3036,1,NU,RD_INTERLIG,12800,6071.15,6210.7,6301.01,6223.21,5940.12,6064.67,5712.74,5677.41,5885.51,5914.26,5972.1,6057.59,6210.3,6331.82,6324.07,6275.68,6062.09,6236.33,5965.98,6059.6,6119.68,6053.75,6103.3,6190.3,352372.0,338279.0,385283.0,321464.0,326384.0,318109.0,333019.0,355603.0,321450.0,296441.0,315542.0,341329.43,3054225.0,2816897.0,3240184.0,3056304.0,2600875.0,2605515.0,2852306.0,2820246.0,2875339.0,2645745.0,2820729.0,2876866.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-54.19114545,-23.51006794,1,2007,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",12,12
25892960000134,CAMPO Sussuapara 010,1,76190000,1012101,,010,Inapta,WILLYLOURO,GO,9511,2016-08-15,8,2016,479,10008177870,97409,6072,511397409,5113,5001349,14953,5215702,,"FAZENDA SUSSUAPARA, 0   KM 35,ZONA RURAL",ZONA RURAL,IN,A3-Tipo1,ABC,AT,82,A3,AT,2011-06-17,7500,1,NU,RD_INTERLIG,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,4860.8,4888.8,4841.2,4732,4922.4,4852.4,4804.8,4776.8,4796.4,4902.8,4919.6,4874.8,189772.11,182158.06,178953.54,163161.1,160923.3,130680.8,127767.4,166064.87,142918.94,106635.01,92849.55,148991.42,2194956.96,2071481.96,2247191.92,2071241.72,1984459.62,1562725.58,1530898.31,2084171.5,1745479.58,1831353.8,1658407.98,2013431.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-49.78807813,-16.80072987,6,2011,INDÚSTRIAS DE TRANSFORMAÇÃO,12,12
32282036000100,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES 1720,1,05145000,4781400,4755503,1720,Ativa,,SP,7107,2018-12-19,12,2018,823,0202235636,357660006,390,32442547739926065H,RACSHTP2,TIEP,12833,3550308,,AV RAIMUNDO PEREIRA DE MAGALHAES,JARDIM IRIS,CO1,,ABCN,AT,84,A2,AT,2017-04-06,200,1,UB,RD_INTERLIG,270,120,120,120,120,120,120,120,120,120,120,120,120,150,150,150,150,150,150,150,150,150,150,150,150,5087.43,3504.92,2816.31,4073.29,3022.65,2366.58,2366.58,2390.59,2122.95,1889.29,2800.88,2390.77,31155.35,20921.37,18633.8,23630.57,19105.16,13870.18,13870.18,12348.17,9541.62,8532.4,15244.2,18680.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-46.81403682,-23.4979876,4,2017,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,12,12
17809524000988,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES 1465,2,05145000,4781400,6462000,1465,Ativa,********,SP,7107,2015-10-26,10,2015,823,0202235636,357660006,390,32442547739926065H,RACSHTP2,TIEP,12833,3550308,,AV RAIMUNDO PEREIRA DE MAGALHAES,JARDIM IRIS,CO1,,ABCN,AT,84,A2,AT,2017-04-06,200,1,UB,RD_INTERLIG,270,120,120,120,120,120,120,120,120,120,120,120,120,150,150,150,150,150,150,150,150,150,150,150,150,5087.43,3504.92,2816.31,4073.29,3022.65,2366.58,2366.58,2390.59,2122.95,1889.29,2800.88,2390.77,31155.35,20921.37,18633.8,23630.57,19105.16,13870.18,13870.18,12348.17,9541.62,8532.4,15244.2,18680.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-46.81403682,-23.4979876,4,2017,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,12,12
35517559000178,RUA RUA SANTO ANT?NIO CASA 4,1,93700000,3299099,,CASA 4,Ativa,,RS,8577,2019-11-14,11,2019,88,3092251875,522-RM01-00999,396,1295008940,522,YSY,15779,4303905,,AV ARNILDO PAZ 480 BL HS,DOS GRINGOS,IN,A3-Tipo3,ABCN,AT,82,A3,AT,2018-05-01,0,1,UB,RD_INTERLIG,4500,4392,4332,4248,4252,4236,4132,4192,4056,4212,4056,4084,4052,4476,4476,4360,4428,4376,4196,4228,4152,4236,4108,4208,4400,250622.0,237504.0,276316.0,239300.0,253062.0,253284.0,263355.0,256888.0,252854.0,234784.0,231459.0,239174.0,2815947.0,2543214.0,2719529.0,2606821.0,2712084.0,2615795.0,2681195.0,2588799.0,2624085.0,2649650.0,2537440.0,2622021.0,0,0,0,0,5.3458,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,-51.06493955,-29.68927274,5,2018,INDÚSTRIAS DE TRANSFORMAÇÃO,12,12
09394905000249,ESTRADA GERAL RIO ENGANO S/N,2,88460000,3511501,3513100,S/N,Ativa,SANTA ANA ENERGETICA S A,SC,8017,2012-06-19,6,2012,618,42245615,12962009,5697,AT-S-6203894,,TJS,13435,4200903,PCH.PH.SC.029778-0,GERAL RIO ENGANO,RIO ENGANO - ANG,IN,AT-2-Tipo1,ABC,AT,94,A2,AT,2009-05-18,500,1,NU,RD_INTERLIG,6304,4.414,8.579,5.255,10.892,12.453,13.23,9.645,11.669,10.208,11.293,12.645,13.282,3.928,2.765,2.127,10.841,7.439,13.001,11.344,10.345,10.549,10.784,11.975,12.353,73.085,15.2245,5.623,110.342,5.907,64.206,35.1425,25.522,37.815,19.8125,196.58,393.44,293.094,548.9895,41.045,575.058,214.263,573.88,118.1205,186.191,76.251,152.3865,760.057,2956.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O PONTO DE CONEXAO � DIRETAMENTE NO BARRAMENTO DA SUBESTACAO (SEM CTAT A DECLARAR),-48.71794767,-27.25716272,5,2009,ELETRICIDADE E GÁS,12,12
07086188000181,AVENIDA INDUSTRIAL 885,1,09080500,8112500,,885,Ativa,,SP,7057,2004-07-27,7,2004,742,ATE0000166,45452715,390,34352873738387801H,LTSABCPLAZA,RBLD,12973,3547809,,AV INDUSTRIAL,JARDIM,CO9,,ABCN,AT,84,A2,AT,2016-12-02,0,1,UB,RD_INTERLIG,12350,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6100,6250,6250,6250,6250,6250,6250,6250,6250,6250,6250,6250,6250,335008.8,318988.8,281102.4,330249.6,262728.0,266695.2,266695.2,259372.8,256075.2,238514.4,266457.6,264981.6,2093148.0,2067753.6,1870740.0,2083435.2,1856836.8,1698724.8,1698724.8,1683885.6,1545192.0,1522504.8,1862431.2,1822075.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-46.54180255,-23.72431086,12,2016,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,12,12
